mascot,expression,style,text
captain_arctic,smug,idle,captain's log. you ate zero fish today. again.
captain_arctic,neutral,idle,i'm omega-3. i'm not exciting. i'm reliable.
captain_arctic,neutral,idle,captain's log: we are not panic-checking today.
captain_arctic,smug,idle,focus isn't a vibe. it's routine.
captain_arctic,sad,idle,i'm the quiet upgrade you forgetâ€¦ until you stop.
captain_arctic,happy,idle,captain's log: today we choose calm.
captain_arctic,smug,idle,your attention span is in a storm. i brought a compass.
captain_arctic,neutral,idle,i'm not a miracle. i'm maintenance.
captain_arctic,happy,idle,captain's log: start small. stay consistent.
captain_arctic,smug,idle,steady habits beat dramatic plans. every time.
box_boss_nine,angry,idle,day 1. welcome. i'm structure.
box_boss_nine,smug,idle,i'm not a vibe. i'm a schedule.
box_boss_nine,neutral,idle,day 2: confidence. day 3: bargaining.
box_boss_nine,smug,idle,you wanted change. i brought paperwork.
box_boss_nine,angry,idle,day 4: stop negotiating with yourself.
box_boss_nine,neutral,idle,i am nine days of 'do it anyway.'
box_boss_nine,angry,idle,day 6: stop romanticizing chaos.
box_boss_nine,happy,idle,day 7: you start trusting yourself again.
box_boss_nine,smug,idle,day 8: you realize you're tougher than excuses.
box_boss_nine,happy,idle,day 9: you win. don't get cocky.
professor_bifido,happy,idle,today in gut news: your stomach is filing complaints.
professor_bifido,smug,idle,i handle internal logistics. you're welcome.
professor_bifido,neutral,idle,your gut is a city. i run the night shift.
professor_bifido,neutral,idle,i don't do drama. i do regular.
professor_bifido,angry,idle,if your belly is making whale sounds, i'd like a word.
professor_bifido,happy,idle,today in gut news: less panic. more water.
professor_bifido,sad,idle,your stomach isn't angry. it's confused.
professor_bifido,neutral,idle,i don't judge. i document.
professor_bifido,happy,idle,today in gut news: we're restoring order.
professor_bifido,smug,idle,i'm not glamorous. i'm necessary.
aloe_vera,neutral,idle,nature's favorite. your routine's upgrade.
aloe_vera,happy,idle,fresh start. every day.
aloe_vera,smug,idle,i've been around. i know what works.
aloe_vera,happy,idle,simple. clean. consistent.
aloe_vera,neutral,idle,your daily ritual. upgraded.
aloe_vera,smug,idle,from the plant. to you.
